addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,metro_station_winner,metro_minutes_winner
"ЖК ""AFI Park Воронцовский""",,1,19,25,43.8,22364280,510600.0,2023-11-15,0,"Застройщик AFI Development, CIAN ID 66545285",14,Воронцовская м.,7
"Мичуринский просп., вл45",,1,3,28,29.6,13638451,460758.0,2023-11-15,0,"Консультант Циан, CIAN ID 47919092",76,Мичуринский проспект м.,1
"ЖК ""Level Нагатинская""",,2,19,26,33.9,15400000,454277.0,2023-11-15,0,"Агентство Этажи Москва, Агент Молчанов Владислав Евгеньевич, CIAN ID 101646876",20,Нагатинская м.,15
"ЖК ""Амурский парк""",,2,3,28,58.3,19243159,330071.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",12,Черкизовская м.,8
"Лобанова ул., 2/21",,3,6,9,76.0,21900000,288158.0,2023-11-15,0,CIAN ID 510699,33,Автозаводская м.,6
"ЖК ""WOW""",,3,2,20,86.6,36690000,423672.0,2023-11-15,0,"Застройщик ГК Страна Девелопмент, CIAN ID 103719092",46,Технопарк м.,12
"Михалковская ул., 52С7",,0,6,10,119.7,29128113,243343.0,2023-11-15,0,"Застройщик ГК Sun Development, CIAN ID 106537499",14,Коптево м. (МЦК),9
"ЖК ""Вери""",,2,4,31,46.1,20262000,439523.0,2023-11-15,0,"Застройщик ГК Основа, CIAN ID 102163700",68,,-1
"Красная Сосна ул., 3А",,3,16,22,85.1,20900000,245593.0,2023-11-15,0,"Агентство PRIME HOME, CIAN ID 85016090",16,,-1
"ЖК ""Руставели 14""",,2,6,33,45.8,19278240,420922.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",12,Бутырская м.,8
"ЖК ""Матвеевский парк""",,1,30,34,22.0,10635493,483432.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"ЖК ""Luzhniki Collection (Коллекция Лужники)""",,4,16,18,169.4,225731000,1332532.0,2023-11-15,0,"Застройщик Absolute Premium, CIAN ID 97240651",68,Воробьевы Горы м.,13
"Костикова ул., 4к1",,4,20,21,242.9,353419500,1455000.0,2023-11-15,0,"Застройщик VESPER, CIAN ID 23891835",22,Улица 1905 года м.,9
"ЖК ""Вери""",,3,24,31,102.6,45434080,442827.0,2023-11-15,0,"Застройщик ГК Основа, CIAN ID 102163700",68,,-1
"Лермонтовская ул., 17",,2,7,20,62.7,23780009,379266.0,2023-11-15,0,"Консультант Циан, CIAN ID 47919092",50,Преображенская площадь м.,11
"ЖК ""Событие""",,3,7,38,96.1,42000000,437045.0,2023-11-15,0,CIAN ID 174596,37,,-1
"ЖК ""AFI Park Воронцовский""",,3,8,21,83.4,37700000,452038.0,2023-11-15,0,"Агентство СмениКварти.ру Проспект Вернадского, Агент Алексей Ильинич, CIAN ID 90994679",33,Калужская м.,9
"ЖК ""Will Towers""",,1,7,26,26.6,11632927,437328.0,2023-11-15,0,"Застройщик Группа Аквилон, CIAN ID 105585536",61,Зорге м. (МЦК),5
"Нижние Мневники ул., 35",,1,11,12,43.2,29276640,677700.0,2023-11-15,0,"Застройщик ДОНСТРОЙ, CIAN ID 86808323",47,Терехово м.,13
"Муравская ул., 38к1",,3,14,26,70.0,16390000,234143.0,2023-11-15,0,"Агентство Вектор-МЛ, CIAN ID 461589",7,,-1
"Флотская ул., 27",,2,11,16,60.8,16300000,268092.0,2023-11-15,0,"Агентство Самолет Плюс Москва ЦАО, Агент Светлана Нуньес, CIAN ID 105803446",57,Моссельмаш м. (МЦД-3),10
"Знамя Октября пос., Родники мкр, 7",,2,9,14,67.0,14300000,213433.0,2023-11-15,0,"Агентство Best Insurance, CIAN ID 75557234",25,Силикатная метро (МЦД-2),13
"ЖК ""Большая Академическая 85""",,1,7,14,34.7,13046883,375991.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,Окружная м.,15
"Паромная ул., 9К1",,2,4,17,60.0,17500000,291667.0,2023-11-15,0,CIAN ID 9429,49,Алма-Атинская м.,6
"Лобненская ул., 13К2",,3,29,33,59.4,16200000,272727.0,2023-11-15,0,"Собственник, CIAN ID 109684599",8,,-1
"Волоколамское ш., 81/2с1",,2,16,24,66.0,17000000,257576.0,2023-11-15,0,"Агентство Показал-Продал, CIAN ID 88509522",29,,-1
"Ленинский просп., 40",,3,7,9,83.3,35000000,420168.0,2023-11-15,0,"Агентство МРИЭЛТОР - офис Отрадное, Агент Маргарита Сыдикова, CIAN ID 105487093",9,,-1
"Мякинино пос., Мякининская 4-я ул., 6",,1,1,3,30.1,6990000,232226.0,2023-11-15,0,CIAN ID 92991234,24,,-1
"Кантемировская ул., 14К2",,2,3,17,60.0,18200000,303333.0,2023-11-15,0,"Агентство Простор-недвижимость, Агент Олег Иваненко, CIAN ID 108447977",15,Кантемировская м.,11
"Коммунарка пос., Потаповская Роща ул., 20к2",,1,8,15,19.7,6770000,343655.0,2023-11-15,0,"Агентство Этажи Москва, Агент Вахитов Ярослав Рафаэльевич, CIAN ID 108333404",19,,-1
"Академика Анохина ул., 4К3",,2,15,17,74.0,28500000,385135.0,2023-11-15,0,"Агентство Этажи Москва, Агент Плахотников Георгий Владимирович, CIAN ID 101153987",7,,-1
"ЖК ""Большая Академическая 85""",,1,7,24,36.3,12726627,350596.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",38,Верхние Лихоборы м.,13
"Суворовская ул., 20",,1,11,12,40.4,15590000,385891.0,2023-11-15,0,"Собственник, CIAN ID 31890504",7,Преображенская площадь м.,5
"ЖК ""Сигнальный 16""",,1,9,33,35.8,12573414,351213.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,Владыкино м.,10
"ЖК ""Амурский парк""",,1,5,28,34.0,12319732,362345.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,Черкизовская м.,9
"Варшавское ш., 18К3",,2,5,8,44.7,14990000,335347.0,2023-11-15,0,"Агентство МиксПлюс, CIAN ID 70483065",54,Верхние Котлы м. (МЦК),4
"Каширский пр-д, 25к3",,1,11,23,31.0,13500000,435484.0,2023-11-15,0,"Агентство МГСН-отдел продаж, МГСН Отделение Новослободское, CIAN ID 68084631",22,Варшавская м.,5
"Амбулаторный 2-й пр-д, 8С1",,1,4,5,21.3,6950000,326291.0,2023-11-15,0,"Агентство Князев и Партнёры, CIAN ID 12210584",10,Красный Балтиец метро (МЦД-2),7
"Ясеневая ул., 12к5",,2,11,16,53.0,18299000,345264.0,2023-11-15,0,"Агентство Capital Mars, CIAN ID 75689898",15,,-1
"ЖК ""Полар""",,1,28,32,40.7,13270595,326059.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,,-1
"Внуковское поселение, Переделкино Ближнее мкр, Бориса Пастернака ул., 33К2",,2,4,17,60.0,14700000,245000.0,2023-11-15,0,"Собственник, CIAN ID 108435180",39,,-1
"Коммунарка пос., ЖК ""Скандинавия""",,1,6,12,30.2,11041821,365623.0,2023-11-15,0,"Застройщик А101, CIAN ID 51527448",30,,-1
"Производственная ул., 4А",,3,21,22,83.3,22000000,264106.0,2023-11-15,0,"Агентство Самолет Плюс Москва, Агент Людмила Соколова, CIAN ID 109374123",28,Солнцево м.,4
"ЖК ""Дмитровское небо""",,1,19,23,36.5,13723414,375984.0,2023-11-15,0,"Застройщик Группа ЛСР, CIAN ID 108286368",14,Селигерская м.,8
"Электролитный пр-д, с7к2",,1,21,27,35.0,16519000,471971.0,2023-11-15,0,"Агентство HomeLand, Агент Ольга Белоусова, CIAN ID 108493824",26,Нагорная м.,5
"Московский г., Первый Московский мкр, Бианки ул., 1",,1,19,21,37.7,11510855,305328.0,2023-11-15,0,"Застройщик Абсолют Недвижимость, CIAN ID 69310994",13,,-1
"ЖК ""LIFE-Варшавская""",,1,6,13,40.1,14641649,365128.0,2023-11-15,0,"Застройщик Компания Пионер, CIAN ID 103723161",7,Варшавская м.,14
"ЖК ""Мякинино парк""",,2,7,25,52.1,16000000,307102.0,2023-11-15,0,CIAN ID 479719,35,,-1
"Суворовская ул., 19С1",,1,3,4,24.5,10300000,420408.0,2023-11-15,0,"Собственник, CIAN ID 106937823",79,Преображенская площадь м.,10
"Цимлянская ул., 3к2",,2,17,17,65.5,21300000,325191.0,2023-11-15,0,"Агентство One Moscow, Агент Светлана Кафтан, CIAN ID 92537485",14,Люблино м.,12
ЖК «Холланд парк»,,1,10,24,36.8,14767218,401283.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",31,Спартак м.,14
"Московский г., Первый Московский мкр, Бианки ул., 1",,1,19,21,43.7,12296900,281394.0,2023-11-15,0,"Застройщик Абсолют Недвижимость, CIAN ID 69310994",7,,-1
"ЖК ""Republic (Репаблик)""",,1,23,26,42.5,33687173,792639.0,2023-11-15,0,"Застройщик Forma, CIAN ID 93740581",9,Улица 1905 года м.,14
"Годовикова ул., 11к5",,1,2,37,43.6,21184740,485889.0,2023-11-15,0,"Застройщик КОРТРОС, CIAN ID 88014230",15,Алексеевская м.,13
"ЖК ""WAVE (Вейв)""",,1,26,52,32.9,12625835,383764.0,2023-11-15,0,"Консультант Циан, CIAN ID 47919092",6,,-1
"Скотопрогонная ул., 31",,1,15,22,35.0,12950000,370000.0,2023-11-15,0,"Агент Ольга Китаева, CIAN ID 686157",34,Калитники метро (МЦД-2),10
"Чистопрудный бул., 12К5",,1,1,4,11.8,10700000,906780.0,2023-11-15,0,"Агентство ГОРОДА, Агент Дмитрий Хвостанцев, CIAN ID 102351848",12,Чистые пруды м.,6
"Внуково пос., Рейсовая 2-я ул., 25",,3,5,12,65.0,12500000,192308.0,2023-11-15,0,CIAN ID 98391511,56,,-1
"Автомобильный пр-д, 4",,1,19,21,42.0,12750000,303571.0,2023-11-15,0,"Частный маклер Вадим Борисов, CIAN ID 207141",35,Калитники метро (МЦД-2),10
"Хорошевская 3-я ул., 27к3",,2,22,22,48.0,25700000,535417.0,2023-11-15,0,"Собственник, CIAN ID 108461926",39,Зорге м. (МЦК),10
"Тюменский пр-д, 3к1",,1,8,31,23.0,11800000,513043.0,2023-11-15,0,"Агентство ГОРОДА, Агент Анна Лухина, CIAN ID 106270952",18,Бульвар Рокоссовского м.,4
"Лукинская ул., 10",,2,22,25,58.4,17500000,299658.0,2023-11-15,0,"Агентство Этажи Москва, Агент Шаблий Анна Владимировна, CIAN ID 108589584",19,,-1
"Раменки ул., 6К1",,2,17,17,58.7,22500000,383305.0,2023-11-15,0,"Агентство Монолит Столица, Агент Игорь Буторин, CIAN ID 75070192",31,Раменки м.,5
"Крузенштерна ул., 10к1",,2,18,29,57.0,22490000,394561.0,2023-11-15,0,"Агентство Октябрьская, Агент Марина Корбут, CIAN ID 109493638",13,Авиамоторная м.,11
"Адмирала Макарова ул., 6Бк2",,2,4,23,32.0,19000000,593750.0,2023-11-15,0,"Собственник, CIAN ID 79469835",10,Водный стадион м.,7
"Марка Шагала наб., 13",,1,13,16,22.4,12500000,558036.0,2023-11-15,0,"Агентство ЛИДЕР Риэлти - офис Динамо, CIAN ID 74123889",104,ЗИЛ м. (МЦК),14
"Римского-Корсакова ул., 11к2",,2,20,24,57.6,19500000,338542.0,2023-11-15,0,"Собственник, CIAN ID 13338252",9,,-1
"Винницкая ул., 8к2",,2,5,15,63.0,34650000,550000.0,2023-11-15,0,"Агентство Владис, Агент Игорь Посохов, CIAN ID 103876310",48,Раменки м.,11
"Митинская ул., 10К1",,2,5,25,76.0,24200000,318421.0,2023-11-15,0,"Собственник, CIAN ID 16195885",37,Волоколамская м.,10
"Красная Сосна ул., 3А",,2,12,22,57.4,17200000,299652.0,2023-11-15,0,"Агентство PRIME HOME, CIAN ID 85016090",16,,-1
"Бескудниковский бул., 19К2",,2,8,17,57.7,18100000,313692.0,2023-11-15,0,"Агентство Навигатор, Агент Артём Островский, CIAN ID 97171812",8,Селигерская м.,10
"Богатырская 3-я ул., 3",,2,9,14,53.9,17200000,319109.0,2023-11-15,0,"Агентство ГОРОБМЕН, Агент АНДРЕЙ СТОПНИК, CIAN ID 105065386",35,,-1
"Масловка Верхняя ул., 20",,1,1,8,32.3,12785761,395844.0,2023-11-15,0,"Застройщик Glincom, CIAN ID 86114320",40,Петровский парк м.,5
"Балканский Большой пер., 13/47к4",,2,4,5,65.0,27000000,415385.0,2023-11-15,0,"Агентство First Broker, CIAN ID 19518273",20,Проспект Мира м.,9
"Сосенское поселение, Магеллана пр-т, 5",,1,3,15,21.4,7299000,341075.0,2023-11-15,0,"Агентство Самолет Плюс Москва Румянцево, CIAN ID 101398658",65,Прокшино м.,10
"Кольская ул., 8к2",,2,5,15,50.1,19990000,399002.0,2023-11-15,0,CIAN ID 252475,12,Свиблово м.,8
"Сосенское поселение, Куприна просп., 36к1",,3,11,12,104.0,22200000,213462.0,2023-11-15,0,"Частный маклер Александр Курышов, CIAN ID 12710301",68,,-1
"ЖК ""Сидней Сити"", к5/1",,1,6,26,42.1,23942270,568700.0,2023-11-15,0,"Застройщик ГК ФСК, CIAN ID 18400645",14,,-1
"Черемушкинская Большая ул., 4",,3,1,5,51.0,17900000,350980.0,2023-11-15,0,"Агентство Этажи Москва, Агент Согомонян Вячеслав Лерникович, CIAN ID 70535648",20,Крымская м. (МЦК),10
"Магистральная 1-я ул., 25",,1,15,23,24.7,9800000,396761.0,2023-11-15,0,"Агентство Этажи Москва, Агент Еременко Оксана, CIAN ID 53006407",20,Полежаевская м.,9
"Нахимовский просп., 31к3",,2,14,20,47.0,17550000,373404.0,2023-11-15,0,CIAN ID 3439708,9,,-1
"Гоголевский бул., 8",,2,5,8,35.0,27000000,771429.0,2023-11-15,0,"Агентство Monumental Group, Агент Николай Михай, CIAN ID 106618370",43,Кропоткинская м.,2
"Десеновское поселение, Андрея Тарковского бул., 4",,2,5,10,65.0,22200000,341538.0,2023-11-15,0,CIAN ID 98391511,67,Рассказовка м.,15
"ЖК ""Алтуфьевское 53""",,1,23,33,38.7,11017581,284692.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"Сосенское поселение, Прокшинский просп., 9",,1,8,16,24.0,8400000,350000.0,2023-11-15,0,"Агентство Самолет Плюс МСК-Север, Агент Наталья Гришина, CIAN ID 11183864",7,Прокшино м.,8
"Лосиноостровская ул., вл45к4",,1,5,25,22.4,6500000,290179.0,2023-11-15,0,"Собственник, CIAN ID 410947",39,,-1
"Годовикова ул., 11к5",,1,11,37,47.8,23359530,488693.0,2023-11-15,0,"Застройщик КОРТРОС, CIAN ID 88014230",14,Алексеевская м.,13
"Шарикоподшипниковская ул., 40",,2,10,10,55.0,21000000,381818.0,2023-11-15,0,"Агентство ИНКОМ-Недвижимость, Офис ""Проспект мира"" Инком-Недвижимость, CIAN ID 24930434",183,Дубровка м.,3
"Фортунатовская ул., 11",,3,3,5,54.0,16500000,305556.0,2023-11-15,0,"Собственник, CIAN ID 100584509",7,Измайлово м. (МЦК),4
"Никитинская ул., 10",,2,2,21,65.5,22700000,346565.0,2023-11-15,0,CIAN ID 14308,35,,-1
"Кастанаевская ул., 65",,2,9,26,64.9,26500000,408320.0,2023-11-15,0,"Собственник, CIAN ID 66916268",11,Кунцевская м.,6
"Талалихина ул., 18",,2,14,14,44.5,14900000,334831.0,2023-11-15,0,"Агентство АРТ, Агент Наталья Савкина, CIAN ID 58490236",9,Пролетарская м.,10
"Ленинский просп., 158",,1,3,22,17.6,7050000,400568.0,2023-11-15,0,"Агентство ZIP Realty, CIAN ID 89882746",33,,-1
"Измайловский пр-д, 5/1к1",,2,3,13,56.9,18200000,319859.0,2023-11-15,0,"Собственник, CIAN ID 110952",13,,-1
"Машиностроения 1-я ул., 4К2",,2,4,5,71.7,20500000,285914.0,2023-11-15,0,"Собственник, CIAN ID 108528058",11,Дубровка м.,8
"Ленинский просп., 82/2",,2,2,8,63.6,18000000,283019.0,2023-11-15,0,"Агентство ГОРОБМЕН, Агент ФАТИМА УШАЕВА, CIAN ID 79317248",10,,-1
"Лихачёва просп., 20",,2,6,8,67.0,27000000,402985.0,2023-11-15,0,"Собственник, CIAN ID 86076323",34,Технопарк м.,14
"Староалексеевская ул., 3",,2,5,19,59.4,22200000,373737.0,2023-11-15,0,"Агентство Homeapp, Агент Светлана Тюсова, CIAN ID 48134923",46,Алексеевская м.,8
"ЖК ""Руставели 14""",,1,4,33,34.4,14630428,425303.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,Бутырская м.,8
"Ленинский просп., 127",,2,17,17,53.2,18000000,338346.0,2023-11-15,0,"Собственник, CIAN ID 109644954",7,Тропарево м.,6
"Каширское ш., 65К1",,2,14,16,58.6,20700000,353242.0,2023-11-15,0,"Агентство ИП Седова М. Ю., Агент Марина Седова, CIAN ID 269693",54,Домодедовская м.,12
"Арбат Новый ул., 32",,3,4,13,109.8,79200000,721311.0,2023-11-15,0,"Агентство EiGHTMiX PROPERTY, Агент Максим Молчанов, CIAN ID 104139318",53,Смоленская м.,8
"Амурская ул., 31",,2,3,5,42.2,11990000,284123.0,2023-11-15,0,"Агентство ОГРК, Агент Елена Чичина, CIAN ID 107915012",28,Щелковская м.,5
"Сущевская ул., 31",,4,7,8,200.5,119000000,593516.0,2023-11-15,0,"Агентство Monumental Group, Агент Иван Зенкин, CIAN ID 64144910",19,Менделеевская м.,6
"Шелепихинская наб., 34к6",,1,9,38,33.0,15300000,463636.0,2023-11-15,0,"Агентство Isaev Estate, Агент Галина Кузина, CIAN ID 105214140",7,,-1
"Щербинка г., Барышевская Роща ул., 24",,2,15,17,54.6,11500000,210623.0,2023-11-15,0,"Агент Светлана Метелкина, CIAN ID 60792451",35,,-1
"Мосфильмовская ул., 8",,4,11,53,150.0,95000000,633333.0,2023-11-15,0,"Агентство Verges of estate, Агент Сергей Бурт, CIAN ID 73098001",15,,-1
"Федора Полетаева ул., 15К3",,2,6,9,46.0,10600000,230435.0,2023-11-15,0,"Агентство Этажи Москва, Агент Китаев Александр Иванович, CIAN ID 107357316",11,Рязанский проспект м.,10
"Люблинская ул., 9К2",,1,1,4,36.0,9000000,250000.0,2023-11-15,0,"Агент Наталья Дадиянц, CIAN ID 108377002",22,Текстильщики м.,6
"Котляковский 2-й пер., вл1/1к4",,1,16,24,46.4,15800000,340517.0,2023-11-15,0,"Собственник, CIAN ID 103592183",51,Каширская м.,15
"Внуковское поселение, Переделкино Ближнее мкр, Самуила Маршака ул., 19",,2,12,19,60.1,16150000,268719.0,2023-11-15,0,"Собственник, CIAN ID 3652420",10,Рассказовка м.,11
"Островитянова ул., 27К1",,1,1,9,11.6,4500000,387931.0,2023-11-15,0,"Агентство ГОРОДА, Агент Елизавета Кулик, CIAN ID 106455735",16,Коньково м.,2
"Арбат Новый ул., 32",,3,5,13,132.8,95616000,720000.0,2023-11-15,0,"Агентство EiGHTMiX PROPERTY, Агент Максим Молчанов, CIAN ID 104139318",53,Смоленская м.,8
"Карамышевская наб., 32/2",,2,8,9,37.9,11000000,290237.0,2023-11-15,0,"Агентство ГОРОБМЕН, Агент ВЛАДИМИР АСЕЕВ, CIAN ID 106501918",24,Народное Ополчение м.,13
"Шмитовский пр-д, 16С2",,5,13,22,290.2,145000000,499655.0,2023-11-15,0,"Собственник, CIAN ID 48400306",190,Тестовская метро (МЦД-1),15
"Лескова ул., 25",,2,8,9,47.0,10500000,223404.0,2023-11-15,0,CIAN ID 366256,17,,-1
"Варшавское ш., 37Ак2",,1,10,29,42.7,16500000,386417.0,2023-11-15,0,"Агентство ФСК Агент, Агент Евгений Сизов, CIAN ID 88174849",29,Нагатинская м.,6
"Недорубова ул., 14",,3,10,27,80.6,16800000,208437.0,2023-11-15,0,CIAN ID 43888399,28,Некрасовка м.,4
"Бестужевых ул., 1А",,2,2,9,44.7,12000000,268456.0,2023-11-15,0,"Частный маклер Александр Фефелов, CIAN ID 12014444",50,Отрадное м.,13
"Минская ул., 1/1соор1",,1,2,54,55.3,18250000,330018.0,2023-11-15,0,"Агентство Этажи Москва, Агент Гаврилова Анна Ивановна, CIAN ID 99305151",20,,-1
"Усачева ул., 15кВ",,3,9,14,136.7,250000000,1828822.0,2023-11-15,0,"Агентство NF Group - ex-Knight Frank Russia, CIAN ID 322500",84,Спортивная м.,8
"Сосенское поселение, Александры Монаховой ул.",,2,18,18,49.2,11186841,227375.0,2023-11-15,0,"Агентство Я ДОМА, Агент Виктория Зверева, CIAN ID 106270211",7,Коммунарка м.,5
"ЖК ""Символ""",,1,24,24,34.2,15861960,463800.0,2023-11-15,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",18,,-1
"Бакинская ул., 7",,2,11,12,47.0,12700000,270213.0,2023-11-15,0,CIAN ID 13145,65,Царицыно м.,10
"Шелепихинская наб., 40к1",,1,12,43,39.1,21310282,545020.0,2023-11-15,0,"Застройщик ГК ФСК, CIAN ID 18400645",30,,-1
"Ташкентская ул., 23К2",,2,13,14,48.0,11520000,240000.0,2023-11-15,0,"Агентство ОЛМА-риэлтгрупп, CIAN ID 26481",65,Юго-Восточная м.,6
"Шелепихинское ш., 7К2",,2,5,5,42.5,13249999,311765.0,2023-11-15,0,"Агентство Азбука Жилья, Агент Елена Кретова, CIAN ID 107388198",48,Шелепиха м.,6
"Ключевая ул., 22К1",,2,13,17,51.0,13799999,270588.0,2023-11-15,0,"Агентство МосКит, Агент Павел Резакин, CIAN ID 54129411",37,Алма-Атинская м.,5
"Филипповский пер., 8С1",,6,3,12,303.0,380000000,1254125.0,2023-11-15,0,"Агентство CapitalEstate, Агент Петр Иванов, CIAN ID 90854575",7,,-1
"Кожевнический 2-й пер., 10/11",,2,3,4,42.6,14000000,328638.0,2023-11-15,0,"Агентство Октябрьская, Агент Жанна Бах, CIAN ID 99973458",18,Павелецкая м.,13
"Ленинградское ш., 228к3",,1,3,15,38.4,9600000,250000.0,2023-11-15,0,"Агент Андрей Шевырёв, CIAN ID 73970278",21,,-1
"Кронштадтский бул., к1/2",,1,3,21,36.5,15498699,424622.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",36,Водный стадион м.,10
"40 лет Октября просп., 12/10",,1,1,5,15.3,4100000,267974.0,2023-11-15,0,"Агентство Дома Мечты, Агент Наталья Воробьёва, CIAN ID 77288171",16,Люблино м.,13
"Шипиловский пр-д, 57К1",,1,15,17,40.0,10450000,261250.0,2023-11-15,0,"Агентство Простор-недвижимость, CIAN ID 52591",16,Орехово м.,13
"ЖК ""Шагал""",,1,7,9,39.2,15100000,385204.0,2023-11-15,0,"Агентство OneBrokerage, Агент Александр Киселев, CIAN ID 109430542",35,,-1
"Балаклавский просп., 15",,5,9,24,144.1,40500000,281055.0,2023-11-15,0,"Агентство Capital Mars, CIAN ID 75690581",319,Чертановская м.,12
"Бехтерева ул., 41К3",,2,8,9,47.2,11300000,239407.0,2023-11-15,0,"Собственник, CIAN ID 103565417",13,,-1
"Генерала Тюленева ул., 31К1",,1,16,17,37.2,10700000,287634.0,2023-11-15,0,"Агентство Владис, Агент Владислав Сивирин, CIAN ID 93061788",13,,-1
"ЖК ""Руставели 14""",,1,11,25,42.5,16840774,396254.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,Бутырская м.,8
"Зеленоградская ул., 17К3",,4,1,15,100.0,26000000,260000.0,2023-11-15,0,"Собственник, CIAN ID 103487841",22,Грачевская м. (МЦД-3),8
"Открытое ш., 21К1",,2,4,5,41.3,12000000,290557.0,2023-11-15,0,"Собственник, CIAN ID 6795178",39,,-1
"Мосфильмовская ул., 88к4с2",,3,19,21,115.0,63000000,547826.0,2023-11-15,0,"Агентство Point Estate Город, CIAN ID 525570",26,Раменки м.,11
"Козихинский Малый пер., 3",,4,2,6,158.8,322414750,2030320.0,2023-11-15,0,"Агентство OXE CAPITAL - Элитная Недвижимость, Агент Наталья Бирюкова, CIAN ID 46835395",5,Маяковская м.,6
"Рождественская ул., 27К2",,2,3,17,58.8,13300000,226190.0,2023-11-15,0,"Собственник, CIAN ID 97880427",11,Некрасовка м.,7
"Радиальная 6-я ул., 7/1к2",,2,8,20,65.0,12400000,190769.0,2023-11-15,0,"Частный маклер Александр Катрюк, CIAN ID 11017987",52,,-1
"Синичкина 2-я ул., 1/2",,1,5,5,31.0,10700000,345161.0,2023-11-15,0,CIAN ID 487022,26,Лефортово м.,2
"Хамовнический Вал ул., 2",,3,3,12,88.0,49500000,562500.0,2023-11-15,0,"Агентство БЕСТ-НЕДВИЖИМОСТЬ Восток, Агент Наталья Назарова, CIAN ID 107667626",33,Лужники м. (МЦК),14
"Короленко ул., 5",,5,13,16,261.0,103095000,395000.0,2023-11-15,0,"Агентство Октябрьская, Агент Ольга Зарубкинская, CIAN ID 100124569",113,,-1
"Кастанаевская ул., 24",,5,23,23,250.0,136999999,548000.0,2023-11-15,0,"Агентство ГОРОБМЕН, Агент ЯРОСЛАВ НАЗАРИК, CIAN ID 48595046",121,,-1
"Обручева ул., 22",,4,15,22,103.0,36000000,349515.0,2023-11-15,0,"Агентство ГОРОДА, Агент Иван Визиров, CIAN ID 106044201",18,,-1
"Крылатские Холмы ул., 28",,3,5,13,115.1,51500000,447437.0,2023-11-15,0,"Агентство Capital Mars, CIAN ID 75691068",55,,-1
"Суздальская ул., 12К3",,1,6,14,39.0,9600000,246154.0,2023-11-15,0,"Агентство ИНКОМ-Недвижимость, Офис ""Беляево"" Инком-Недвижимость, CIAN ID 24930420",22,,-1
"Маршала Савицкого ул., 24",,3,3,17,97.1,17500000,180227.0,2023-11-15,0,"Агентство СТАТУС, Агент Ирина Статус ЮАН, CIAN ID 71118598",18,,-1
"Палехская ул., 5",,4,1,9,62.5,12800000,204800.0,2023-11-15,0,"Агентство Абсолют Капитал Недвижимость, CIAN ID 16182",66,,-1
"Годовикова ул., 11к4",,1,10,32,27.4,15782400,576000.0,2023-11-15,0,"Застройщик КОРТРОС, CIAN ID 88014230",7,,-1
"Косинская ул., 26К1",,2,6,9,49.0,11500000,234694.0,2023-11-15,0,"Агентство ИНФИНИТИ, Агент Сергей Петров, CIAN ID 100779293",35,Выхино м.,12
"ЖК ""Барклая 6""",,1,11,32,38.5,19436867,504854.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",8,Багратионовская м.,8
"Верхняя ул., 20к1",,3,6,27,126.6,99000000,781991.0,2023-11-15,0,"Агентство Kalinka Group, CIAN ID 22325545",84,Белорусская м.,7
"Радиаторская 2-я ул., 12",,2,1,5,43.3,14000000,323326.0,2023-11-15,0,"Частный маклер Вячеслав Смирнов, CIAN ID 13670564",36,Войковская м.,6
"Полярная ул., 27к1",,1,3,33,41.3,15333096,371261.0,2023-11-15,0,"Застройщик ПИК, CIAN ID 9992698",7,,-1
"Коммунарка пос., Скандинавский бул., 19",,2,3,16,37.9,11899000,313958.0,2023-11-15,0,"Агентство Этажи Москва, Агент Слесаренко Роман Валерьевич, CIAN ID 103310525",20,,-1
"Кировоградская ул., 16К2",,3,3,9,65.1,14500000,222734.0,2023-11-15,0,"Агент Ольга Ланина, CIAN ID 7213816",13,Южная м.,4
"Щербинка г., Южный кв-л, 9",,5,1,21,150.0,22500000,150000.0,2023-11-15,0,"Агентство Центральный Департамент Недвижимости, CIAN ID 21693",167,Остафьево м. (МЦД-2),14
"Покровка ул., 31С1Г",,1,3,5,15.0,10600000,706667.0,2023-11-15,0,"Частный маклер Александр Иванов, CIAN ID 89887652",11,Курская м.,10
"ЖК ""Will Towers""",,1,10,56,48.7,20062950,411970.0,2023-11-15,0,"Застройщик СЗ Минские холмы, CIAN ID 94033309",38,,-1
"Дубнинская ул., 20К3",,2,5,9,46.0,11200000,243478.0,2023-11-15,0,"Агентство Владис, Агент Татьяна Охотина, CIAN ID 102452961",10,Дегунино метро (МЦД-1),10
